Language,hand,left,right,leg/foot,to walk,road/path,to come,to turn,to swim,dirty,dust,skin,back,belly,bone,intestines,liver,breast,shoulder,"to know, be knowledgeable",to think,to fear,blood,head,neck,hair,nose,to breathe,"to sniff, smell",mouth,tooth,tongue,to laugh,to cry,to vomit,to spit,to eat,to chew,to cook,to drink,to bite,to suck,ear,to hear,eye,to see,to yawn,to sleep,to lie down,to dream,to sit,to stand,person/human being,man/male,woman/female,child,husband,wife,mother,father,house,thatch/roof,name,to say,rope,"to tie up, fasten",to sew,needle,to hunt,to shoot,"to stab, pierce",to hit,to steal,to kill,"to die, be dead","to live, be alive",to scratch,"to cut, hack",stick/wood,to split,sharp,"dull, blunt",to work,to plant,to choose,to grow,to swell,to squeeze,to hold,to dig,to buy,"to open, uncover","to pound, beat",to throw,to fall,dog,bird,egg,feather,wing,to fly,rat,meat/flesh,fat/grease,tail,snake,worm (earthworm),louse,mosquito,spider,fish,rotten,branch,leaf,root,flower,fruit,grass,earth/soil,stone,sand,water,to flow,sea,salt,lake,woods/forest,sky,moon,star,cloud,fog,rain,thunder,lightning,wind,to blow,warm,cold,dry,wet,heavy,fire,to burn,smoke,ash,black,white,red,yellow,green,small,big,short,long,thin,thick,narrow,wide,"painful, sick","shy, ashamed",old,new,good,"bad, evil","correct, true",night,day,year,when?,to hide,to climb,at,"in, inside",above,below,this,that,near,far,where?,I,thou,he/she,we,you,they,what?,who?,other,all,and,if,how?,"no, not",to count,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Twenty,Fifty,One Hundred,One Thousand
Proto-Oceanic (Blust),*lima,*ma-wi?i,*wanan,*waqe,*lako,*jalan,*mai,*liu,*kaka?u,*maqitom,*qapuk,*kulit,*muri,*tian,*su?i,*tinaqi,*qate,*susu,*[qa]pa?a,*taqu,*rodrom,*ma-takut,*dra?aq,*qulu,*?uqa,*raun ni qulu,*isu?,*ma?awa,*ajok,*papaq,*nipon,*maya,*malip,*ta?is,*luaq,*qanusi,*kani,*mamaq,*tunu,*inum,*ka?at,*sosop,*tali?a,*ro?o?,*mata,*kita,*mawap,*tiru?,*qenop,*mipi,*nopo,*tuqur,*tau,*mwa?uqane,*pine,*natu,*qasawa,*qasawa,*tina,*tama,*?umwaq,*qatop,*?ajan,*kunu,*tali,*buku[ti],*saqit,*sa?um,,*p(w)anaq,*soka,*punuq,*panako,*punuq,*mate,*maqurip,*karu(t),*ta?aq,*kayu,*p(w)olaq,*ma-tasim,*purul,*quma,*tanum,*piliq,*tubuq,*pa?oq,*po?os,*kokom,*kali,*poli,*pukes,*tutuk,,"*(s,j)u(a,u)",,*manuk,*qatolu?,*pulu,*panij,*?opok,*lapo,*pisiko,*mo?ak,*siku,*mwata,*mwata-mwata,*kutu,*?amuk,*lawaq,*ikan,*mapu,*raqan,*raun,*waka?,*pu?a,*puaq,"*pali(s,j)i",*tanoq,*patu,*qone,"*[dr,r]anum",*qali?,*tasik,*tasik,*rano,*qutan,*la?it,*pulan,*pituqun,*taqe ni la?it,*kaput,*qusan,*kuru[ru],"*qu(s,j)ila(q)",*a?in,*upi,*ma-panas,*ma-dri(d)ri?,*ma-?a?o,*buluk,*mapat,*api,*tunu,*qasu,*qapu,*ma-qeto(m),*maputiq,*me?aq,*ya?o,*keja,"*riki(t,q)",*lapuat,*tuku,*b(w)arapu,*manipis,*ma-tolu,*kopit,,*masakit,*mayaq,*matuqa,*paqo?u,*ma-pia,*saqat,*bonor,*bo?i,*qaco,*taqun,*(q)ana-?ican,*puni,*panek,*i,*i lalo-?a,*atas,*i papaq,*ni,*na,*ra?i,*sauq,*pea,*[i]au,*[i]ko[e],*ia,*kita,*kamiu,*[k]ira,*sapa,*sai,*liqan,,*ka,*ka,*ku(y)a,,,*sa-kai,*rua,*tolu,*pat,*lima,*onom,*pitu,*walu,*siwa,*sa-[?a]-puluq,*rua-?a-puluq,*lima-?a-puluq,*?atu(s),
Proto-Oceanic (Pawley),*lima,*mau?i,,*waqe,*pano,*jalan,*lako mai,,*ka?u,,*qapuk,*kulit,*taku?u,*tian,*su?i,,*qate,*susu,*qapa?a,*kila-,*ronrom,*matakut,*dra?aq,*qulu,*?uqa,*raun,*iju?,*ma?awa,*?ami-,*?uju?,*nipon,*maya,*malip,,*mumuta,*qanu-si,*kani,*mamaq,*tunu,*inum,*ka?ati-,*miji,*tali?a,*ro?o?,*mata,*kita,mawap,*maturu,*qeno,*nipi,*nopo,*taqur,*taumata,*taumwaqane,*papine,*natu,,,*tina-?a,*tama-?a,*?umwa,*qatop,*qajan,*posa,*tali,*paqu-t??i,*saqit,*sa?um,,*pana,*soka,*tuki,*panako,*punuq,,*maqurip,*kadru(t??),,*kayu,*pasi,*tajim,,*quma,*tanom,*piliq,*tubuq,*puke,,*ta?ovi-,*kali,*poli,,*tuki,,,,*manuk,*katolu?,*pulu,*kapak,*la?o,*kasupe,*pisako,*momo?a,*siku,*mwata,*baya,*kutu,*?amuk,*lawaq,*ikan,"*ba(l,r)a",*ma?a,*rau,*waka?,*pu?a,*puaq,*paliji,*qumun,*patu,*qone,*wai?,*tape,*masawa,*wai? tasik,*rano,*wao,*la?it,*pulan,*pituqon,*taqe ni la?,*kaput,*qusan,*kuruk,*qusilak,*mata?i,*upu,*mapanas,,*masa,*su?u,*mapat,*api,,*qasu,*drapu(?),*maqeto,*purak,*me?aq,*a?o,,*rikiq,*lapapt,*papaq,"*ba(l,r)apu",*manipis,*matolu,*kopit,*lapa,*masakit,*mayaq,*matuqa,*pa?aqu,*ma-pia,*saqat,*bonor,*bo?i,*qaco,*taqun,*?a-ijan,*puni,*sake,,*(i)ralom,*atas,*papaq,*eni,,*tata,*sauq,*pea,*au,*iko,*ia,*kami,,*ira,*sapa,*sai,*liqa,*udolu,,,*kuya,*tika(i),,*sa,*rua,*tolu,*pati,*lima,,,,,,,,,
Madak (Lamasong Dial.),?uma,n?is,nasa,?e?e,p?s,?as,undeu,sapuk,ka??s,benan,kakup,ra?u,silom,baya,si,mbantine,?at,susu,ka?aya?,atik,ndo?ondo?oma,maraat,ndaa,,,kamanin,isi-,mamas,sima,?usa-,?isa,??ama-,no?on,t??,mura,imbis,an,,r?n,in,?onom,ro?op,rinti?a,ro?o,mara,vondo,m?man,u?a,,,kis,tu,rarina,randi,?aine,nat,ramas?k,rumbu,na-,tama-,anu,si? anu,asa-,vara,vu??s vo?us,vo?os,s?k,,silin,tuyu,so,so??o,isi?im,s?p,m?re,roro,?a?a,vit,una,v????m,an?n,vap mbut,??u,sia,,,s?k,vilok,r???,??t,,v?v??,,tuyu,?oyo,?andu,vi?a,?atli,mbembe,vapa,pava,?isap,wet,monok,ri?ari?a,sisi,??oro,?ap,??l?vi,??mbil??,mat,mau,?a?an,?aman,k?k?s,vusuvusu,venti,mbini,vua,wat,?a?kan??,ndan,,ma?at,ras,,karuri?,?alimbet,??olin,tian,?a?,mbolombolo?a?,?umbu,,k?mes,mantavu,vu,tatalep,mamandut,m?m?s,mbimbilu,mumuat,vu??n,ar?s,aturas,mbila? kakup,mbumbu?as,mapmavut,malamal?s,lakla??n,m??am??a,ndokndok,puruk,?umburik,mbamban,ndokndok,puruk,n?u??umit,malav??,?ut,m??an,maut,m???t,vukat,v?s???,tuntuna,m?in,na?a?ki?,,na?isa,,??,,to?,v?n?,k?r?po,na,ni,atara,p?p???a,ava,e,u,i,nd?,mbi,ndi,esa,sina,,pir?s,,,ar?? wa,pu,us,e ?as,e u,e run,e w?t,,,,,,,,,,
Madak,la??ak teren,lon?en pian? (kia),len?en tino,la?an? kadek,i yonon,la?a,i pas ode,it kis tepukus,i susu,i bilin?a,la?a kup,la bantuku,lan tuno ren,lebeln,lisi,la ban tain ren,levere,lu rus,la kaka,l arei,,marat,la dada,lak,la?a ka,lavat kambinim,lesna,i e mas,i e sumak,lon?uso,lan? san?sa silok,la?am,i e non?on,l ten?,im-to,,l anan,lt ?as,io ve,l ninin,l yatat,i dokop,labalon?,ln? ton?a,lakatli,l reven,i mao,l yon?a,mi di kapo,i robo,it kis,i tu,laradi,latlok,latkin,lamdak,hat lok,hat kin,nenen,temen,lu?u,,lasen,l pase,lokon-noos,l seput lo kon nos,l somap,,i sisiliu,i so so,i sep amet,ip sep,im nem,i sep (lobo),i met,lobo roro,i kui,i wit,lokon-nuna,i wa?am,raise anan,,i ?u?u,it lo,,i su,i dan?,lp lok la lamas,lm teban?,i ke kankan,,i suan?,,i lu lu,,la?adu (laman),livi?a - lapka,li kiau,le bebe,la-rapa,livi?a ip lava,kisap,ut-bo,la lavat pan?a von?pon?,le?et ket atla man,lisisi,kolon,laratkap,rat n?it,lavat sasalao,lemat,luna i mau,la?a kakan at luna,lovonan? at luna,le?e una at luna,la busu-nana,,beo,la?an kanen,lava ruat,la?an kanen,lo?o dan,,laras,,,la?a-irin? tubu,lakalibot,la ?alin?,le leventi,ban kubu,lusu?ao,lara kabu - le bet,lava l tepat,lava l main,lam-man-man itmas,,neni l ip livi,neni l mudut,laban tomon i man?,laban tomon imlu,,la?au,la?au l ?a?a ?au,paip,kakup,l bibi,l bubbun,l momo lo,l n?a n?an,mamaka,lobo kakalik,lobo silok,it mut (mut mut),ibalom,,,linin n?a,tap las,labi teren,,lu?u i maut,lo?u ma?at,lo?u aukat,i lok ko mek,ik mok so,la?an nimin,lakan?-kin?,lamaros,,,,,,,,lo?u na,hom lo?u,,no rakolom,,nenia,,neni,nema,nemi,nedi,la,ne?e,nedi (len taba),nema,,,,kopmen na sopo parase,lamdak i ekes,?esara,?epuna,wanton,wanret,walimo,lavana,,,vasik,san?aun,,,le ?esa mar,le ?epu mar
Bilur,akuna,ainor,a ot,a kikina,i vanan,a dip,va ?o rit,i pupukuai,i a lin,idur,otobon,a palaono,a taruna,,a urina,o unau no balana,o buaina,o una,a kaba kuna,i nunuran,,i bukur vanatnat,na ?ap,euna,aruana,akatkat-neuna,oleuna,ilo vuvu,i nu? na ur ma?it,avana,nan?iene,okaramepipi,i ar kobor,i tan?i,,tarauset,i tamo,i mame,it papava a tio ma ran,iap,apap iarkakarat,a kalikit i uu,olin?ene,i lo?or,omatana,i nei,i muiap,i bor bor,,i irereap,i ke,i tuktur,tulun?en,ame,avaina,a nuna kalkit,nuna me,nuna vaina,enano,kokono,a pal,,aiana,i urek,ololo,i kubu okukubu,i ?it,,i papanak tur va many,i panak i mo vuvur,,i varum,,i amat a bor noi,i mat,a boroi ki do,i karunono,i poko a bo roi,ovai,i parak na vovai,o matan na pul,,ipa piat,i in? na kau kau,,na ur ma?it itur,imaladir,i karu o maran?,i tolo a kuma,i?an,,i apan? a taman,,i mibira o vai,,apap,o manu,okiau,o pulina,a bebeana,o manu i mobo,a kue,na mit,,otapupuna,aoi,o?a?aulam,aut,onam,a kabilak,oi,ove i marut,a rakana,opakavai,ovakarai,o purpur,,o korkor,apiv,ovat,nana,namalum,,atai,sol,a kabalom,o lokor,a bakut,a ka la?,o kan kanmui,a bakut,omi,i to von,a pipi,a pala palai,wuwu,i wuwu,i un?ian,i kotokoto,na matetek na ma lu,na polo na malu,,aiap,aiap-iot,omi,,i mok morom,i pua,i tar,in?iliau,i lan,a nat nabora,a ?nir na boroi,a tuk,l ba ra barap,,,a nat na ?a,i tamaba,a manua,,a maula na pal,a ka la ma na na pal,akonapal,kir,i rail api koina,i morom,i kiap,kilala,,,,,,,,a pal kiti,a pa ire vatatap,,,,iau,vu,toan,mia,mula,diavaurua,a,ii,la,larap,,,,kir runa ta balbali tu ia tiri ano,i luluk,ani?,uru,tulua,vauat,lima,nono,,,latia,naaulu,,,a mar,a rip
Solos,(mo) minouh,mina keruk,mina risiki,mo mouh,tatan non,barobaron,naomeh,biriton,nanahon,kute,kuahu,mo toauh,mu te?en nuh,mo tot tuh,mu tinouh,mo tot tuh,,mu sus suh,mu rosoat uh,natenon,,napean e ratout non nakatua,mo natiuh,(mo) bakuh,(mo) nio te youh,(mu) un nuh (to baku),(mo) osuh,nuason,puinon,(mo) buruh,(mu) nihouh,(mo) mieuh,?a?ason,n?anon,e nunuanon,mo reret tuh,henon,e koranon,hahuona,kaunon,hekoton,(napean) suson,(mo) ten?in nuh,non?on non,(mo) touh,taranon,,sohon,kanaton,e sino sohon,?un?on,tonon,nakatun,natinon,natahon,mu napeani nuh,mu natinon nuh,mu natahon nuh,(mu) tinen nuh,(mu) tamen nuh,numa,,mu son nuh,ketanon,stirin?,kit noni pusi,samapon,,hahara mune non,haneinon neireh,hesakon,henatun?on,,natun?or,maton,toe non,(tua) makananon,bopo nei (?u),nen doi,robakat nuh o roi,hen,,kuinon,,,,(tua) potekon,pot non i wen,namoton,n?ahon,,e panat nei bebene,,mit nei dako,pukuo,kus,namune,nat,keam,bapahu,noh,kiso,beno,mo bosokuh,his,,tirikopu,pehut,kuhenu,kupat,nayean,roi muna non,nen doi,un (o roi),pono? (o roi),plaua,ua,hasini,kopu,rako,kotonan,kua,,tasi,,kopu kopu,duruh,nen?it,natihao,bipit,wanean,makesk,na ruat,pina,kanah,seoun?,seoun? saku non,e hetunon,e koroan non,parak,bupus,,ton?,(ton?) n?oton,ruh,kumahoan,koun?,?ekeani,kunuk,n?oa n?oan pehao,buin,(?u) i ?akei,(?u) pea,rundu?,roron,,,ti?akei,kapea,,,konohan,(numa) in binit,(numa) in daeh,roson,e youh raihon,bon?,nan,yia,ha?is,,,i,,i yas,i kopu,numai re,numai i toh,sikut,,,ena,eno,e,emen,emu  nenanu,erun nenanu,nasah,esi,,erun naobot,,,,meiyah,kason,me?,huanu,huapis,nina,tanin?,neiyonon?,hit,toan,nei sie,manot,,,natus,o nean mes or paraonh
