Language,sun,moon,star,cloud ,rain,wind,night,year,water,earth,stone ,mountain,tree,root,leaf,flower,fruit,grass,salty,dog,bite,horn ,tail,bird,fly ,egg,fish,snake,louse ,head,hair,eye,nose,ear ,mouth,tongue,tooth,abdomen,heart,liver,intestines ,hand,nail,foot,bone,fat ,skin,blood,person,child,name,road,sew ,fire,ashes,smoke,smell,see,eat,drink,spit ,breathe ,laugh,know,fear,sleep,scratch,die,sit,stand,fall,give,rub hard with both hands ,cut,dig ,burn ,hunt,kill,one,two,three,four,many,long,full,right side,left side,far,near,this,black,white,new,old-aged,cold,heavy,who?,what?,I,you (sg.)
Namhsan,saŋiː,blaŋkiәːr,samɛŋ,Ɂuːt,ʨuŋ,khuːr,ram̥әɯ,sanәm,ʔoːm, soil,moː,sur,ɗɨŋ heː,riah,l̥a:,ɓoh,ɓleː,kәrbaːn,ʨɛːm,ɁaɁoɁ,ɡaɁ,nuŋ kraɁ,saɗaː,sim,pәr,kadam ɓeɁ,kaː ,haɲ,siː,kiŋ,huɁkiŋ,ŋaːj,kɔŋmuh,lajʨhɔːɁ,moːɁ,kәrɗaɁ,r̥aːŋ,vɛɁ,ble phәːm,kәrɗɔːm,-----,ɗiː,rәnim,ʥәŋ,kaɁaːŋ,priaŋ,hur,n̥aːm, human,kuan,ʨɨː, path,ʥɨŋ,ŋar,kafaːŋ,ɗɨʔŋar,khriɁ,ŋәːp,hɔːm,ɗiaŋ,bɛɁ,khriɁ phә:m,jum,nap,ʥɔː,ɁiɁ,graːɁ,jam,mɔɁ,ʥәŋ, to drop,dɛh,sakuaɁ,ɡәp,kәhɓɨŋ,ɡuɁ,biam ,biam,Ɂur,Ɂar,Ɂuaj,phon,bram,r̥әŋr̥әŋ,nɔɁ,khɔn Ɂidam,khɔn Ɂiveː,saŋaːj,tadaɁ,haɁɨː,ʥәm,blɔɁ,kәnmɛː,konʨhaː,kat,ʥan,ʔase mimәh,sinmә haɁɨː,Ɂɔː,miː
Khun Hawt,saŋiː,paŋkia ,sәmeɲ,Ɂuːt,ʥoŋ,khuːr,lapm̥әː,sanәm,ʔoːm,1,moːw,sor,ɗәŋ hej,riah,l̥aː heːj,ɓoh,plej,kәrbaːn,saŋ ,ɁaɁoɁ,ɡaɁ,nәŋ,saɗaː,sim,bәr,kaɗam,kaː,heɲ,siː,keɲ,houɁ keɲ,ŋaːj,kɔŋmur̥,ralaŋ,mur̥,kәrɗaɁ,r̥aːŋ,vac,blej phә:m,kaɗoːm,-----,ɗi:,rәnimɗiː,ʥәːŋ,kanɁaːŋ,priaŋ,hur,n̥aːm,1,-----,ʥɨː,1,ʥeɲ,ŋar,kafaːŋ,ɗәk,kruət ,ʥәː,hɔːm,tiaŋ,baic,kanhɔh phә:m,ʥum,nap,jow,Ɂiːt,kraːjɁ,jam,moɁ ,ʥaŋ,1,daih,dudit,ɡәp,kәːŋ ,ɡuːt,koh priː,piam,Ɂuː,Ɂar,Ɂuaj,phon,sәp,l̥әːŋ,noɁ,khɔnnap,khɔnkanap,saŋaːj,dat,Ɂanin,ʥәm,blɔːɁ,karmej,paɁaːn,kat,ʥan,siɁan mɔh,simɔh,Ɂoː,miː
Htan Hsan,saŋiː,baŋkia,sameɲ,ɁuːɁ,ʥuːŋ,khuːr,rәnm̥әː,sәnәm,ʔoːm,2,moːw,sur̥,ɗɨŋ hej,riah hej,l̥aː,ɓoh,ɓlej,brej,sɔɁ saŋ,ɁaɁoɁ,ɡaɁ,nuk,saɗaː,sim,ɓәr,kaɗam,kaː,heɲ,sej,kiɲ,houɁ kiɲ,ŋaːj,kɔŋmuh,lalaŋ,mur̥,kәrɗaɁ,r̥aːŋ ,vaic,blej phәːm,kaɗoːm,-----,ɗiː,rәnhim,ʥәːŋ,kәnɁaːŋ,priaŋ,huːr,n̥aːm,1,kuan ,ʥɨː,1,ʥiɲ,ŋal,kafaːŋ,ɗәkŋal,khrɨʔ,jəː,hɔm,ɗiaŋ,baic,kәnɁɔh phәːm,ʥum,nap,ʥoː,ɁiɁ,kraːjɁ,jam,mɔɁ,ʥaŋ,1,daih,thutheiɁ,ɡәp,kәːŋ,ɡuːɁ,luaŋbrej,ɓiam,Ɂu:,Ɂa:,Ɂuaj,phoːn,2,l̥әːŋ,nauɁ,khɔnnap,khɔnkanap,saŋaːj,dat,Ɂanin,ʥәm,plɔʔ,kәnmej,pәɁaːn,kat ,ʥan,simimɔh,sәnmәh,Ɂɔː,miː
Pangkham,saŋaj,blaŋɡian,plaːŋ,ɁaɁuːt,ɡlaːj,khuːn,khimm̥әɯ,sanam,ʔoːm,2,maːw,ŋɔːt,hej,riah,l̥aː,boh,bleː,praj,jɛːm,ɁaɁoɁ,ɡak,nɨŋ,saɗaː,sim,min,ɡlaw,ɡaː,haɲ,saj,ɡiɲ,hɨk ɡiɲ,bleː ŋaːj,ɡɔŋmuh,j̊ok,muaɁ,kaɗaɁ,r̥aːŋ,waɁ,bleː phәːm,1,-----,ɗaj,ʔahim,ʨeŋ,kaɁaːŋ,briaŋ,huːn,n̥a:m,1,ɡɔːn,ʨɨː,1,ʨiŋ,ŋɔː,kafaːŋ,ɗɔk ŋɔː,khrɔːt,ʥәɯ,hɔːm,ɗiaŋ,paɁ,thuj phәːm,kanɲah,nap,ʥoː,Ɂiːt,kriah,jam,mɔŋ,ʨaŋ,1,deh,sabɔt,kap,ɡəh,ɗɔk,kuh praj,ŋɔh,Ɂuː,Ɂaː,Ɂuaj,phuan,3,d̤oŋ,noɁ,ʔaʔɔh,ʔakaʔ,doŋ,Ɂad̤at,niː,vaŋ,luːj,kamaːj,kat,ɡiaɁ,ʨan,Ɂaseː,simuh,-----,maj
Man Loi,saŋaj,blaŋɡiaː,plaːŋ,ɁaɁut,ɡlaːj,khuː,khiːm̥әɯ,sanam,ʔoːm,2,maːw,ŋauɁ,daŋ heː,riah hej,l̥ɛː,ɓoh,blej,praj,sɛɁ saŋ,ɁaɁoɁ,kak,nuŋ,saɗɛː,sim,bәr,klaw khaj,ɡɛː,han,saj,ɡiŋ,huk ɡiŋ,bleː ŋaːj,ɡɔŋmuh,lɛːj̊ok,muaɁ,kaɗaɁ,r̥aːŋ,vaiɁ,bleː phәːm,1,-----,ɗaj,ʔahim,ʨeːŋ,kaɁaːŋ,briaŋ,hur,n̥aːm,1,ɡɔːn,ʨɨː,1,ʨin,ŋɔː,kafaːŋ,ɗak,khrit ,ʥәː,hɔːm,ɗiaŋ,paiɁ ɓaiɁ,phәːm leh,kaɲah,naɁ,ʥɔː,Ɂit,kriaɁ,jaːm,mɔŋ,ʨaŋ,1,tɛh,saɓɔɁ,kap,ɡəh,ɗok,khrɔh praj,ŋah,Ɂuː,Ɂɛː,Ɂuaj ,phɔːn,4,toŋ,nok,ʔaʔɔh,ʔaɡaʔ,toŋ,taɁ,naŋɁɨː,vaŋ,luːj,kamaːj,kaɁ,ɡaɁ,ʨɔn,Ɂasej,simuh,Ɂɔː,maj
Meng Dan,ŋəj,blaŋɡiar,kəman,ʔuːt,ɡlaːj,khuːr,khiːw m̥əɯ,sənam,ʔuːm,2,mɛːw,sul ,hi,riah hiː,l̥ɛː hi,ɓoh,bliː,praj,saŋ,ʔaʔuʔ ,kiaʔ,nuŋ,kəɗɛː,sim,phruː,ɡlɛːw,kɛː,hɔn,kəbran,kiŋ,huʔ kiŋ,ŋaːj,ʔamujh,j̊ok,mojɁ,kədɛʔ,r̥ɛːŋ,veʔ,bli nɔjh,1,rɔːn ʔiar,ɗaj,ʔahim,ʨəŋ,kaʔɛːŋ,priaŋ,hur,n̥ɛːm,1,kɔnɲɔm,ʨɨː,1,ʨiŋ,ŋal,kəfɛːŋ,ɗɔʔ,ʔujh,ʥɨː,hɔːm,diaŋ,peʔ,phəːm,kaŋiah,nap,ʥoː,ʔit,boʔ,ʥam,ŋoːj,ʨaŋ,1,deh,thuʔɗaj,kiap,loʔ,ɗoʔ,lip riŋ,ŋah,luʔ,ʔɛː,ʔoj,phon,4,doŋ,noʔ,diŋʔaʔɔjh,ʔakɛʔ,doŋ,ndat,ɗuʔɯː,vaŋ,plɔʔ,kamaj,kɛt,ɡat,ʨan,ʔi siː,sinəmuh,ʔoː,məj
Chu Dong Gua,səŋɔj,blaŋkiar,səmaɲ,kɨʔuːt,klaj,khuːr,kham̥ɯ,sanɔm,ʔuːm,2,maːw,kədiaŋ,hi,riahhi,l̥aː hiː,ɓoh,ɓliː,ɓrai,ʨeːm,ʔaʔoʔ,ɡa?,nuŋ,sadaː,sim,phruː,ɡraːw ʔiar,kaː,hɔɲ,saːj,ɡiŋ,huʔ kiŋ,ŋaːj,mujh,j̊o?,mojɁ,kaɗaʔ,ʂaːŋ,vɛʔ,nɔːj,1,rɔːn,ɗaj,ʔahim,ʥəŋ,kaɁaːŋ,priaŋ,hur,n̥aːm,1,kɔːn,ʨɨː,*,ʥiŋ,ŋɔr,kafaːŋ,ɗɔːk,ʔujh,jɨː,hoːm,diaŋ,bɛ?,həh phəːm,kəɲajh,nap,joː,ʔit,boʔ,jam,ŋoːj,ʥaŋ,1,dɛh,səɓɔːt ɗaj,kap,loʔ,ɗoʔ,klɔː brai,ŋah,Ɂuː,Ɂaː,Ɂoj,phɔn,1,doŋ,nok,dua?ɔjh,?aka?,doŋ,dat,ha?ɨ,vaŋ,blɔʔ,kamaj,ɡat,kat,ʥɔːn,siːn muh,siːnmuh,ʔoː,mɔːj
Xiang Zhai Tang,saŋɛː,məɡian,samɛɲ,ŋɁuɁ,ɡlaːj,khuːn,ʨuŋm̥əɯ,sanəm,Ɂɨm,2,maːw,nɔn,daŋhej,riahhej,l̥aː,boh,blej,pət,sɛɁsɔŋ,sow,kɔɁ,nɨŋ,sədaː,siːm,bən,pəːn,ɡaː,haɲ,masɛː,ɡiɲ,huːj,ŋaːj,ɡuŋmuh,j̊auɁ,mojɁ,sɨdaʔ,r̥aːŋ,vac,blejnɔx,1,vac,dɛː,ŋhiːm,ʨeːn,kaɁaːŋ,briaŋ,huːn,n̥aːm,1,ɡɔːn,ʨɨː,1,ʨiɲ,ŋɔː,kafaːŋ,dak,Ɂuh,jəɯ,hoːm,diaŋ,pec ,hək phəːm,kaɲah,nap,-----,ʔiʔ,bouɁ,jam,kɔj,ʨɔŋ,1,tajh,saboɁ,kəp,ɡəx,douɁ,lɨpprɛː,ŋɔh,Ɂuː,Ɂaː,Ɂoːj,mphuan,1,-----,nouɁ,naɁah,naɡaɁ,toŋ,mtat,Ɂaniː,vɔŋ,luːj ,kamaːj,kat,ɡat,ʨan,Ɂasej,masej,Ɂow,mɛː
Pong Nuea,saŋɛj,maɡian,samaɲ,ŋɁuɁ,ɡlaːj,khuːn,khɛm̥әɯ,sanəm,ʔɨm,2,maːw,nɔːn,hej,riah,l̥ɛa,bouh,blej,pət,sɔŋ,masow,kauɁ,nɨŋ,sadɛa,masiːm,bən,pəan,maɡɛa,mahaɲ,masɛː,ɡiɲ,hɨk ɡiɲ,ŋaːj,ɡuŋmuh,jaj̊auɁ,moːc,sadaɁ,r̥aːŋ,vaic,berɔː,1,ɲɔŋ vaic,dɛː,ŋhiːm,ceɲ,kaɁaːŋ,briaŋ,huːn,n̥aːm,2,ɡɔːn,ʨɨː,1,ʨiɲ,ŋɔː,brɔŋɔː,dak,ɲ̥ɔːɁ,jəɯ,hoːm,diaŋ,paic,hək phəːm,kaɲah,nap,jow,ʔiːʔ,bouɁ,jam,tuic,ʨɔŋ,*,taih,sabɔːɁ,kəp,ɡəh,douɁ,ŋauh,ŋauh,2 or 3,Ɂaː,Ɂoːj,mphaun,*,toŋ,nouɁ,ʔaʔah,ʔaɡaɁ,toŋ,khriaɁ,nɨj,vɔŋ,luːj,kamaːj,kat,ɡat,ʨan,ʔasej,masej,Ɂow,mɛː
Nyaung Gone,saŋɛ,maɡian,samăn,ŋ ʔuʔ,ɡlaj,khun,pam̥ə,sanăm,ʔɨm,2,maw,nɔn,he,riah,l̥a,bouh,ble,pə̆t,sɔk,maso,kauʔ,nɨk,sada,masim,bə̆n,pən ʔian,maɡa,han,masɛ,ɡɨn,hɨk ɡɨn,ŋaj,ɡumuh,j̊ouʔ,moc,sadăʔ,r̥ak,văt,-----,1,ɲɔŋ vat,dɛ,ŋ him,plɔ,kaʔak,briak,hun,n̥am,3,ɡɔn,cɨ,1,cin,ŋɔ,brɔ ŋɔ,dăk,ɲ̥ɔʔ,jə,hom,diak,păt,phəm,kaɲăh,năp,kacua,ʔiʔ,bouʔ,jăm,tuc,cɔk,1,taih,sabɔʔ,kăp,ɡə̆h,douʔ,lɛ khɛ prɛ,ŋauh,3,haʔa,ʔoj,m phuan,*,tok,nouʔ,ʔaʔăh,ʔaɡăʔ,n tok,khriaʔ,ni,vɔk,luj,kamaj,kăt,ɡăt,căn,ʔase,mase,ʔo,mɛ
Noe Lae,saŋɛ,maɡian,samăɲ,ŋ Ɂu,ɡlaj,khun,khɛm̥ə,sanə̆m,ʔɨm,2,maw,nɔn,he,riah,l̥a,bouh,ble,pə̆t,sɔŋ,maso,kauɁ,nɨŋ,sada,masim,bə̆n,pən Ɂian,maɡa,mahaɲ,masɛ,ɡiɲ,hɨk ɡiɲ,ŋaj,ɡoŋmuh,Ɂaj̊ouʔ,moc,sadăɁ,r̥aŋ,văc,baraw,1,ɲɔŋ vac,dɛ,ŋ him,ceɲ,kaɁaŋ,briaŋ,hun,n̥am, duʔi,ɡɔn,cɨ,1,ciɲ,ŋɔ,brɔ ŋɔ,dăk,ɲ̥ɔɁ,jə,hom,diaŋ,păc,hə̆k phəm,kaɲăh,năp,kacua,ɁiɁ,bouɁ,jăm,tuc,cɔŋ,1,taih,sabɔ,kə̆p,ɡə̆h,douɁ,lɛ prɛ,ŋauh, l̥eih,Ɂa,Ɂoj,m phuan,5,toŋ,nouɁ,ɁaɁăh,ɁaɡăɁ,toŋ,khriaɁ,ni,vɔŋ,luj,kamaj,kăt,ɡăt,căn,Ɂase,mase,Ɂo,mɛ
Ban Paw,saŋɛ,maɡian,samăn ,ŋ ɁuɁ,ɡlaj,khun,khɛm̥ə,sanăm,Ɂɨm,2,maw,nɔn,he,riah,l̥a,bouh,ble,pə̆t,sɔŋ,maso,kauɁ,nɨŋ,sada,masim,bə̆n,pən Ɂian,maɡa,mahăɲ,masɛ,ɡɨɲ,hɨk ɡɨɲ,ŋaj,ɡuŋmuh,Ɂaj̊ouɁ,mot,sɨdăʔ,r̥aŋ,văt,mahujə,1,ɲɔŋ văt,dɛ,ŋ him,ceɲ,kaɁaŋ,briaŋ,hun,n̥am,duɁi,ɡɔn,cɨ,1,cin,ŋɔ,brɔ ŋɔ,dăk,ɲ̥ɔɁ,jə,hom,diaŋ,păt,hə̆k phəm,kaɲăh,năp,jo,ʔit,bouɁ,jăm,tut,cɔŋ,1,taih,sabɔɁ,kakə̆p,ɡə̆h,douɁ,ba prɛ,ŋauh,Ɂu,Ɂa,Ɂoj,phuan,5,toŋ,nouɁ,naɁăh,naɡăɁ,toŋ,khriaɁ,nɨj,vɔŋ,luj,kamaj,kăt,ɡăt,can,Ɂase,mase,Ɂo,mɛ
Cha Ye Qing,khaŋaj,lənlaːw,khaman,ŋɁuːɁ,ɡlaːj,khuː,kham̥eːw,khanam,ʔɛm,2,maːw,noː,hɔːj,ɣəhhɔj,l̥aː,box,ɓlɔːj,bjai,ʨeːm,maʔoʔ,ɡak,nɨŋ,khaɗaː,siːm,ɓaj,bəːn,kaː,han,masaj,ken,hɨk ken,ŋaːj,kadoŋmuh,ʨhok,mojʔ,khadaʔ,xaːŋ,vat,blɔːjnɔh,1,khəɣan,ɗaj,khiːm,ʥɔːn,kaʔaːŋ,bjoŋ,huː,n̥aːm,duɁɨj,koːn,ʥɨː,1,ʥen,ŋaj,kafaːŋ,ɗak,ʔuh,ʥeːw,hoːm,ʨoŋ,bat,doh pheːm,kəɲah,nɔʔ,ʥaw,ɁiɁ,ɓok,ʥɔːm,Ɂak,ʥaŋ,1,dɛh,səboɁ,kep,khut,ɗok,ləp bjaj,ŋɔh,2,ʔeː,ʔoːj,phoːm,5,doŋ,nok,naʔeh,nakaʔ,doŋ,ndɔʔ,ʔanin,vaŋ,lɨjh,ləmaj,ɡɔʔ,kok,ʥɔːn,ʔasi,səmuh,Ɂaw,maj
Guang Ka,saŋaj,pakjəː,laːw,ɁoŋɁuːɁ,klaːj,khuː,kasɛm,sanam,ʔɛm,2,maːw,koŋ,taŋhɔːj,ʐəh hɔːj,l̥aː hɔːj,poh,plɔːj,bat,ʨɛːm,saw,ɡak,nɨŋ,sataː,siːm,pɨːh,bəːn,kaː,han,saj,ken,hɨk ken,ŋaːj,kaduŋ muh,ʨhok,mojʔ,sataɁ,ᶊaːŋ,vat,poŋ kənɔh,1,-----,taj,khiːm,ʥɔːn,kaɁaːŋ,pjoŋ,huː,n̥aːm,duʔuj,kɔːn,-----,2,kaʥən,ŋaj,kafaːŋ,tak,ɲɔjɁ,jew,hoːm,ʨoŋ,bat,toh phɛːm,kəɲah,nɔːʔ,jaw,ɁiɁ,pok,ʥɔːm,Ɂɔk,ʥɔŋ,1,dɛh,thuthik ,kjap,lok,tok,pai toː,ŋai?, l̥eih,ʔɛː,ʔoːj,phoːn,5,doŋ,nok,ɁaɁɛh,ɁakaɁ,doŋ,təʨɔm,niː,vɔŋ,luj,tamaːj,ɡɔːʔ,kɔːɁ,ʥɔn,siː,səmoh,Ɂau,maj
Mang Bang,saŋaj,pakjəː,laːw,ŋɁuɁ,klaːj,khuː,kasəm,sanam,Ɂəm,2,maːw,nɔː,taŋhɔːj,ɣəh,l̥aː hɔːj,poh,plɔːj,bət,ʨeːm,saw,ɡɔk,nɨŋ,sataː,siːm,pɨː,bəːn,kaː,han,saj,kən,hɨkkən,ŋaːj,kadɔŋ muh,laʨhok,mojʔ,sətaːɁ,xaːŋ,vat,kənɔh,1,sɔnvat,taj,khiːm,ʥɔːn,kaɁaːŋ,pjoŋ,huː,n̥aːm,taɁiː,kɔːn,ʥɨː,2,ʥən,ŋaj,kafaːŋ,tak,ɲɔːj?,jew,hom,ʨoŋ,bat,toh phəːm,kəɲah,nɔːʔ,jaw,ɁiɁ,pok,jɔm,Ɂɔk,ʥɔŋ,1,dɛh,thuthiː,kiap,lok,tok,lɛː,ŋaj,ʔuː,ʔɛː,ʔoːj,phoːm,5,doŋ,nok,ɁaɁəh,ɁakaɁ,doŋ,kaʨam,Ɂaniː,vɔŋ,luːj,tamaːj,ɡɔːʔ,kɔːɁ,ʥɔːn,si dəh,si,Ɂaw,maj
Nan Sang,saŋaj,pakjəː,laːw,ŋɁuːɁ,klaːj,khuː,kasəm,sanam,Ɂəm,2,maːw,kɔŋ,taŋhɔj,rəhhɔj,l̥aː,poh,plɔːj,bat,sɔŋ,sow,kɔk,nɨŋ,sataː,siːm,pɨː,bəːn,kaː,han,saiɁ,kən,hɨkkən,ŋaːj,kaduŋmuh,ʨhok,mojɁ,sataɁ,xaːŋ,vat,poŋkanɔh,1,sɔnvat,taiɁ,kiːm,ʥɔːn,kaɁaːŋ,pjoŋ,huː,n̥aːm,taɁiː,kɔːn,ʨɨː,2,ʥən,ŋaiɁ,kafaːŋ ,tak,ɲɔjɁ,jew,hoːm,ʨoŋ,bat,tohphəːm,kaɲah,naː,jaw,ɁiɁ,kabaːn,jɔm,Ɂak,ʥɔŋ,1,dɛh,thuthiː,kiap,kəh,tok,jɨtoː,ŋai,Ɂuː,Ɂaː,Ɂoj,phon,5,doŋ,nok,ɁaɁəh,ɁakaɁ,doŋ,kaʨam,Ɂani,Ɂivɔŋ,Ɂiluj,tamaːj,ɡɔɁ,kɔːɁ,ʥan,ʨhim̥əː,ʨhənm̥əː,Ɂaw,maj
